name
ICBC
China Construction Bank
Agricultural Bank of China
Bank of China
Berkshire Hathaway
JPMorgan Chase
Exxon Mobil
PetroChina
General Electric
Wells Fargo
Toyota Motor
Apple
Royal Dutch Shell
Volkswagen Group
HSBC Holdings
Chevron
Wal-Mart Stores
Samsung Electronics
Citigroup
China Mobile
Allianz
Verizon Communications
Bank of America
Sinopec
Microsoft
Daimler
AT&T
Gazprom
AXA Group
Nestle
Banco Santander
Ping An Insurance Group
Mitsubishi UFJ Financial
Johnson & Johnson
Total
Procter & Gamble
China Life Insurance
Bank of Communications
Google
Vodafone
BP
American International Group
Itaú Unibanco Holding
IBM
BMW Group
Comcast
Commonwealth Bank
Pfizer
Goldman Sachs Group
BHP Billiton
MetLife
Novartis
Royal Bank of Canada
Siemens
China Merchants Bank
Prudential
Anheuser-Busch InBev
Nippon Telegraph & Tel
Rosneft
Westpac Banking Group
Banco Bradesco
Softbank
Honda Motor
General Motors
UnitedHealth Group
TD Bank Group
Intel
EDF
Ford Motor
Deutsche Telekom
BASF
Boeing
Industrial Bank
UBS
ANZ
Cisco Systems
Sumitomo Mitsui Financial
Zurich Insurance Group
China Minsheng Banking
Merck & Co
Roche Holding
Citic Pacific
National Australia Bank
Shanghai Pudong Development
Walt Disney
CVS Health
Telefónica
Oracle
ConocoPhillips
Sanofi
United Technologies
ING Group
Coca-Cola
China Citic Bank
Morgan Stanley
Hewlett-Packard
Nissan Motor
GDF SUEZ
PepsiCo
Lloyds Banking Group
Munich Re
Société Générale
CNOOC
Statoil
American Express
Rio Tinto
Bank of Nova Scotia
Bayer
LukOil
Glencore International
Credit Agricole
China State Construction Engineering
Unilever
Deutsche Bank
BBVA-Banco Bilbao Vizcaya
Saudi Basic Industries
Hyundai Motor
Hutchison Whampoa
Mizuho Financial
EADS
Eni
Hon Hai Precision
Schlumberger
Sberbank
América Móvil
US Bancorp
China Shenhua Energy
Manulife Financial
Generali Group
SAIC Motor
Mitsubishi Corp
Nordea Bank
Banco do Brasil
Home Depot
GlaxoSmithKline
AIA Group
Caterpillar
UniCredit Group
Credit Suisse Group
Dow Chemical
Capital One Financial
Intesa Sanpaolo
Reliance Industries
China Telecom
China Everbright Bank
Swiss Re
Phillips 66
Hitachi
Møller-Maersk
Twenty-First Century Fox, Inc.
Iberdrola
State Bank of India
Standard Chartered
Bank of Montreal
China Communications Construction
Qualcomm
Prudential Financial
Taiwan Semiconductor
Honeywell International
China Railway Group
Amgen
Aviva
Express Scripts
Time Warner
VINCI
Walgreens Boots Alliance
Anthem
Union Pacific
China Railway Construction
PNC Financial Services
Korea Electric Power
McKesson
China Pacific Insurance
EI du Pont de Nemours
Legal & General Group
KDDI
National Grid
L'Oréal Group
Travelers Cos
Christian Dior
Tokio Marine Holdings
Valero Energy
Oil & Natural Gas
Mitsui & Co
China Unicom
Philip Morris International
United Parcel Service
Mondelēz International
Suncor Energy
SAP
Duke Energy
Gilead Sciences
Renault
Allstate
Deutsche Post
Lockheed Martin
Orange
Ecopetrol
British American Tobacco
Costco Wholesale
ABB
Bank of New York Mellon
Aetna
Brookfield Asset Management
3M
Schneider Electric
McDonald's
People's Insurance Company
Surgutneftegas
Lowe's Cos
Jardine Matheson
Aflac
Continental
BT Group
Japan Tobacco
ACE
SABMiller
Repsol YPF
John Deere
Archer Daniels Midland
American Airlines Group
EMC
BlackRock
FedEx
PTT PCL
NextEra Energy
Cigna
Teva Pharmaceutical Inds
Enel
Aegon
Canadian Imperial Bank
Denso
Natixis
Dalian Wanda Commercial Properties
Canon
Carrefour
Altria Group
Seven & I Holdings
AstraZeneca
Dai-ichi Life Insurance
Itochu
RWE Group
Wesfarmers
Telstra
Diageo
Enbridge
Nippon Steel & Sumitomo Metal
Abbott Laboratories
Medtronic
Southern Co
China Vanke
East Japan Railway
General Dynamics
Halliburton
Exelon
Time Warner Cable
Canadian Natural Resources
DNB
Imperial Tobacco Group
KBC Group
Kroger
LyondellBasell Industries
Tata Motors
Visa
Eli Lilly & Co
Nomura Holdings
Danaher
DBS Group
Alibaba
Bridgestone
MS&AD Insurance
Telecom Italia
Huaxia Bank
Marathon Petroleum
Gas Natural Fenosa
Ericsson
Sun Life Financial
Saint-Gobain
Shinhan Financial Group
Facebook
SEB
Vivendi
Fresenius
ICICI Bank
Danone
CNP Assurances
Kinder Morgan
Directv
Fiat Chrysler Automobiles
NIKE
Central Japan Railway
EOG Resources
Thermo Fisher Scientific
Linde
BCE
Sun Hung Kai Properties
Air Liquide
Hyundai Mobis
Bristol-Myers Squibb
Samsung Life Insurance
HCA Holdings
Oversea-Chinese Banking
AbbVie
Tencent Holdings
Mitsubishi Electric
State Street
Reckitt Benckiser Group
New China Life Insurance
Bank of Beijing
KIA Motors
American Electric
Johnson Controls
Svenska Handelsbanken
Henkel
WPP
Raytheon
Inditex
Eaton
Fubon Financial
Power Corp of Canada
