Sanofi	Merck	0.26932753622750244
CLP Holdings	Axiata Group	0.1000502168787677
Pearson	Reynolds American	0.10117053451519975
Harris	Taylor Wimpey	0.12848888354490492
GD Power Development	Electric Power Development	0.3603151543220208
Bank Muscat	Andhra Bank	0.20295643747058864
Meritz Financial Group	Fubon Financial	0.10114772963995455
Top Frontier Investment Holdings	Commercial Bank For Investment & Development Of Vietnam	0.10329558381284244
Raiffeisen Bank International	National Commercial Bank	0.1012581701755562
Dongfeng Motor Group	Guangzhou Automobile Group Co. Ltd.	0.179921100902343
CNO Financial Group	Radian Group	0.1539800510831355
China Aviation Oil	China Shenhua Energy	0.17341477566229285
Chemtura	BASF	0.2798880343301348
Hyundai Motor	Hyundai Mobis	0.3406513567219505
Electric Power Development	Hokkaido Electric Power	0.3950946398475485
Catcher Technology	Linear Technology	0.18501031912633614
Prudential Financial	PNC Financial Services	0.15715040058532817
Nippon Yusen	Ajinomoto	0.15527960739219634
Saudi Hollandi Bank	Saudi British Bank	0.3698588654880745
Humana	Aetna	0.4309277483473587
Saudi Basic Industries	Almarai	0.10615187306422885
Blom Bank	Siam Commercial Bank	0.12194719304276112
Asahi Group Holdings	Nomura Holdings	0.26327122092137173
Kobe Steel	China Steel	0.1850557315935604
Cosmo Oil	Occidental Petroleum	0.15821536993026505
Evonik	Brenntag	0.22944791594638236
WPG Holdings	Oji Holdings	0.23118643076287387
Beijing Xinwei Telecom Technology Group	China Communications Construction	0.15311820435375897
Meritz Financial Group	KB Financial Group	0.3800812660739754
Baoshan Iron & Steel	Wuhan Iron & Steel	0.8111170470209462
Shanghai Industrial Holdings	TCL Corp	0.10014935970658766
Kobe Steel	Maanshan Iron & Steel	0.37063241288967835
Kajima	Obayashi	0.4667034789305451
Annaly Capital Management	CYS Investments	0.12251387856931699
Land Securities Group	SM Investments	0.12791836023324568
ENN Energy Holdings	Husky Energy	0.1226349854253819
BAIC Motor	Toyota Motor	0.10091495712915706
Marriott International	Millicom International	0.1038656385862013
Asahi Group Holdings	Hertz Global Holdings	0.10789441356357796
Sumitomo Electric	Mitsui Fudosan	0.10096135711190724
