source	target	correlation
Arab National Bank	Punjab National Bank	0.20823133224442994
Sumitomo Corp	Sumitomo Rubber	0.2511170381531518
Nippon Yusen	Kawasaki Kisen Kaisha	0.2003004230094168
Formosa Chemicals	Formosa Plastics	0.2639901831402929
Suruga Bank	Huaxia Bank	0.3072344386310279
Huadian Power International	CGN Power	0.21662327804323886
China Construction Bank	China Communications Construction	0.26620190582273207
Sembcorp Industries	Reliance Industries	0.29847750890479513
China Coal Energy	China Yangtze Power	0.2533179527705408
MMI Holdings	SJM Holdings	0.2198749561789127
Lennar	PulteGroup	0.5057060740020993
OTP Bank	PKO Bank Polski	0.3779799874033724
Hankook Tire	Goodyear	0.22654060671987006
Yamaguchi Financial	Mizuho Financial	0.25578199565264925
Hong Kong Exchanges	Shin Kong Financial	0.311768334577635
SM Investments	JB Financial Group	0.2029503622208913
American Financial Group	Hartford Financial Services	0.2009520505720887
Shanghai Electric Group	Greentown China Holdings	0.24848063021958927
Weichai Power	Huaneng Power International	0.416221059251791
T Rowe Price	Pearson	0.2550191697272974
Shanghai International Port	China Hongqiao Group	0.23480545627647037
Burgan Bank	Alpha Bank	0.20089467548227516
China Power International Development	China Resources Land	0.2034009056507692
UnitedHealth Group	Cigna	0.3418069038170606
Chubu Electric Power	Huaneng Power International	0.21245884365527393
TD Bank Group	Syndicate Bank	0.22832751750791314
Hong Kong Exchanges	Li & Fung	0.6267012661694051
China Steel	Angang Steel	0.5385426388214851
Principal Financial Group	CNO Financial Group	0.3800241581146824
Sampo	Storebrand	0.4433151075211456
Kaisa Group Holdings	WPG Holdings	0.30541544764252765
Daiichi Sankyo	Suzuken	0.37589275385710913
Burgan Bank	Qatar National Bank	0.3109775731847379
Dongfang Electric	China Resources Power	0.25488176929535344
Banco Occidental	Banco Davivienda	0.4793077025106921
Weichai Power	China Longyuan Power	0.3332472065697661
Emirates NBD	Dubai Islamic Bank	0.2044243876974928
Steinhoff International	Harman International	0.2708500271147705
Grupo Elektra	Grupo Televisa	0.20369675703961604
Axis Bank	Kiyo Bank	0.2351171233188243
China Cosco Holdings	Asahi Group Holdings	0.20889871633939947
Nanto Bank	Shanghai Commercial & Savings Bank	0.25040851943796816
LG Household & Health Care	Ramsay Health Care	0.24602997227253204
Guangdong Electric Power	Power Finance	0.21517942657884223
Gansu Jiu Steel Group Hongxing Iron & Steel	US Steel	0.2901205510644555
Saudi Hollandi Bank	BMCE Bank	0.22716424878207628
China Unicom	China Hongqiao Group	0.2547488917237587
China CNR	China Mobile	0.25607234290910974
Hiroshima Bank	Gunma Bank	0.2074565728096272
Syndicate Bank	Blom Bank	0.25145540519680143
Harbin Bank	Chongqing Rural Bank	0.3305469263607204
Marathon Oil	Marathon Petroleum	0.5752194274108869
Shizuoka Bank	Higo Bank	0.3630645657161748
AmTrust Financial Services	First Financial Holding	0.22998423151339606
